,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
66,ab,SWF-081-2023,56.9909,-113.459, 2023-05-14 18:37:00,20082.8, OC, MDT,2023-05-31 06:37:07
67,ab,LWF-135-2023,55.1028,-112.497, 2023-05-29 01:42:00,0.1, UC, MDT,2023-05-31 06:37:07
68,ab,LWF-136-2023,55.8935,-110.814, 2023-05-29 02:00:00,0.1, UC, MDT,2023-05-31 06:37:07
69,pc,2023WB6,59.7478,-112.071, 2023-05-28 06:19:35,1.0, OC,,2023-05-31 06:37:07
70,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, UC, PDT,2023-05-31 06:37:07
71,bc,2023-V30293,50.0628,-123.331, 2023-05-13 23:33:00,38.0, UC, PDT,2023-05-31 06:37:07
72,sk,23SR-RIACH,59.7405,-109.309, 2023-05-19 17:58:10,20000.0, OC, CST,2023-05-31 06:37:07
73,sk,23LX-LSZ001,55.2829,-110.001, 2023-05-13 13:59:14,54329.0, OC, CST,2023-05-31 06:37:07
74,sk,23LX-PAWR03,55.2417,-109.689, 2023-05-16 13:30:17,8617.0, OC, CST,2023-05-31 06:37:07
75,sk,23LX-BOLDING,57.8766,-107.046, 2023-05-20 08:53:09,18950.0, OC, CST,2023-05-31 06:37:07
76,sk,23LX-SMITH,55.9848,-106.587, 2023-05-11 17:55:13,277777.0, OC, CST,2023-05-31 06:37:07
77,ak,Bison RX,63.8954,-145.312, 2023-05-09 00:00:00,371.46, Prescribed,,2023-05-31 06:37:07
78,ak,YTA Husky Rx,64.776,-147.062, 2023-04-21 00:00:00,161.87, Pre,,2023-05-31 06:37:07
79,pc,2023WB3,58.2736,-112.839, 2023-05-28 20:30:43,2300.0, OC,,2023-05-31 06:37:07
80,pc,2023WB2,59.3952,-112.452, 2023-05-28 20:27:16,12.0, OC,,2023-05-31 06:37:07
81,ns,08-016-2023,45.0465,-63.9335, 2023-05-29 00:00:00,1.0, UC, ADT,2023-05-31 06:37:07
82,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,87108.0, OC, MDT,2023-05-31 06:37:07
83,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,6281.0, OC,,2023-05-31 06:37:07
84,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2477.0, OC,,2023-05-31 06:37:07
85,nb,61842,46.0465,-66.0233, 2023-05-27 17:00:46,4.8, BH, ADT,2023-05-31 06:37:07
86,nb,61864,46.6495,-65.8152, 2023-05-28 16:44:00,3.5, BH, ADT,2023-05-31 06:37:07
87,nb,61884,45.1808,-66.9748, 2023-05-28 20:27:06,250.0, OC, ADT,2023-05-31 06:37:07
88,nb,61902,45.6278,-65.9153, 2023-05-29 02:27:39,40.0, BH, ADT,2023-05-31 06:37:07
89,nb,61883,46.4529,-66.461, 2023-05-28 19:45:33,0.3, BH, ADT,2023-05-31 06:37:07
90,nb,61887,45.6622,-66.5871, 2023-05-28 22:47:20,32.0, BH, ADT,2023-05-31 06:37:07
91,sk,23WY-MEYAK,54.8219,-105.766, 2023-05-07 14:47:25,1570.0, UC, CST,2023-05-31 06:37:07
92,on,DRY_FIRE_003,49.6528,-93.2348, 2023-05-26 22:57:00,1.8, UC, GMT,2023-05-31 06:37:07
93,ab,PWF-035-2023,56.537,-118.874, 2023-05-05 20:30:00,0.3, UC, MDT,2023-05-31 06:37:07
94,nb,61922,46.5713,-64.9899, 2023-05-29 10:35:46,0.5, BH, ADT,2023-05-31 06:37:07
