,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
278,qc,392,46.8956,-73.2531, 2023-06-03 19:00:00,0.0, OC, EDT,2023-06-04 20:38:39
279,sk,23BN-AARON,56.565,-109.302, 2023-05-29 13:10:00,2248.0, UC, CST,2023-06-04 20:38:39
280,on,SUD_FIRE_015,46.1256,-82.0897, 2023-06-04 00:18:00,5.0, OC, GMT,2023-06-04 20:38:39
281,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2478.0, OC, MDT,2023-06-04 20:38:39
282,sk,23LF-PLAKE,54.0935,-104.871, 2023-05-29 16:11:53,80.0, UC, CST,2023-06-04 20:38:39
283,pc,2023JA5,52.7986,-118.034, 2023-06-04 06:17:37,1.7, OC, MDT,2023-06-04 20:38:39
284,bc,2023-G80582,57.24,-122.083, 2023-06-03 19:14:00,1.0, BH, PDT,2023-06-04 20:38:39
285,bc,2023-G70583,55.8621,-122.008, 2023-06-03 21:29:00,0.2, BH, PDT,2023-06-04 20:38:39
286,on,SUD_FIRE_016,46.6555,-82.1176, 2023-06-04 00:55:00,1.0, OC, GMT,2023-06-04 20:38:39
287,bc,2023-V10588,49.4821,-121.991, 2023-06-03 23:12:00,6.0, OC, PDT,2023-06-04 20:38:39
288,sk,23LX-LSZ001,55.2829,-110.001, 2023-05-13 13:59:14,63985.5, OC, CST,2023-06-04 20:38:39
289,qc,229,47.6956,-74.0675, 2023-06-01 17:20:00,206.5, OC, EDT,2023-06-04 20:38:39
290,qc,348,48.4536,-74.9756, 2023-06-01 22:41:00,5.0, OC, EDT,2023-06-04 20:38:39
291,bc,2023-V80574,50.4594,-125.36, 2023-06-03 02:03:00,1.25, OC, PDT,2023-06-04 20:38:39
292,ab,MSZ-001-2023,58.9446,-110.006, 2023-06-03 14:55:00,75.0, OC, MDT,2023-06-04 20:38:39
293,qc,212,48.26,-70.4203, 2023-05-31 18:20:00,20.0, UC, EDT,2023-06-04 20:38:39
294,qc,401,46.9544,-74.2461, 2023-06-03 15:00:00,0.3, BH, EDT,2023-06-04 20:38:39
295,on,APK_FIRE_007,45.9381,-77.966, 2023-06-03 20:06:00,2.1, OC, GMT,2023-06-04 20:38:39
296,on,APK_FIRE_006,45.9259,-77.9207, 2023-06-03 19:54:00,18.0, OC, GMT,2023-06-04 20:38:39
297,on,SUD_FIRE_013,46.7508,-81.9395, 2023-06-03 18:18:00,0.1, UC, GMT,2023-06-04 20:38:39
298,qc,335,48.4592,-72.8681, 2023-06-01 15:00:00,9.5, UC, EDT,2023-06-04 20:38:39
299,qc,344,49.1222,-76.7867, 2023-06-02 18:23:00,33010.8, OC, EDT,2023-06-04 20:38:39
300,mb,EA029,52.29,-96.9103, 2023-06-03 05:00:00,1.0, BH, CDT,2023-06-04 20:38:39
301,mb,EA030,51.5578,-96.1906, 2023-06-03 05:00:00,2.0, OC, CDT,2023-06-04 20:38:39
302,nl,603,52.3459,-61.0788, 2023-01-06 00:00:00,82.0, OC, NDT,2023-06-04 20:38:39
303,qc,172,50.6178,-66.0056, 2023-05-28 15:30:00,33947.4, OC, EDT,2023-06-04 20:38:39
304,qc,266,48.8186,-76.2733, 2023-06-01 21:02:00,1700.0, OC, EDT,2023-06-04 20:38:39
305,qc,252,49.545,-69.7333, 2023-06-01 20:33:00,944.8, OC, EDT,2023-06-04 20:38:39
